prompt_idx,concept_id,template,prompt,mean_akiec,mean_bcc,mean_bkl,mean_df,mean_mel,mean_nv,mean_vasc
0,asymmetry,t1,Dermoscopy of melanoma showing an asymmetric pigmented lesion,0.41118621826171875,0.4185560643672943,0.4271965026855469,0.4160834550857544,0.4326607584953308,0.4374805688858032,0.40754565596580505
1,asymmetry,t2,Dermoscopic image of melanoma demonstrating asymmetric shape along both axes,0.4167557656764984,0.4172969162464142,0.43118926882743835,0.41661155223846436,0.4374387562274933,0.4444831907749176,0.40914151072502136
2,asymmetry,t3,Asymmetric outline of a pigmented lesion in dermoscopy of melanoma,0.425871878862381,0.42843571305274963,0.4389590919017792,0.4352031946182251,0.4460933804512024,0.45511338114738464,0.420291930437088
3,border_irregularity,t1,Dermoscopy of melanoma showing irregular and jagged lesion borders,0.4204168915748596,0.42251670360565186,0.43155017495155334,0.41493672132492065,0.4352816641330719,0.43207669258117676,0.4092915952205658
4,border_irregularity,t2,Dermoscopic image of melanoma demonstrating notched and ill-defined borders,0.43773123621940613,0.4413076341152191,0.44649890065193176,0.4364377558231354,0.452777624130249,0.45373326539993286,0.42395883798599243
5,border_irregularity,t3,Irregular notched borders of a pigmented lesion in dermoscopy of melanoma,0.44204407930374146,0.4421350359916687,0.45175838470458984,0.4396369755268097,0.45985639095306396,0.45911726355552673,0.4265078604221344
6,colour_variation,t1,Dermoscopy of melanoma showing variegated pigmentation with multiple colours,0.4128003418445587,0.4079895615577698,0.42845988273620605,0.395941823720932,0.4286596179008484,0.4183882176876068,0.37457990646362305
7,colour_variation,t2,"Dermoscopic image of melanoma demonstrating brown, black, and red colour variation",0.4292992353439331,0.4293687641620636,0.4409969449043274,0.4222709536552429,0.4494713544845581,0.4481879770755768,0.41037553548812866
8,colour_variation,t3,Multi-coloured variegated pigmentation in dermoscopy of melanoma,0.4200395941734314,0.41122689843177795,0.43324583768844604,0.4045931100845337,0.4341379404067993,0.4254327416419983,0.37498190999031067
9,diameter_large,t1,Dermoscopy of melanoma showing a large pigmented lesion greater than six millimetres,0.4101659953594208,0.41217026114463806,0.42785489559173584,0.4082901179790497,0.4365619122982025,0.43365731835365295,0.396775484085083
10,diameter_large,t2,Dermoscopic image of melanoma demonstrating a broad pigmented surface,0.4164363145828247,0.4157395362854004,0.4323066174983978,0.4107153117656708,0.4388049840927124,0.4364809989929199,0.38810858130455017
11,diameter_large,t3,A large pigmented lesion in dermoscopy of melanoma,0.39133819937705994,0.3931470513343811,0.40868353843688965,0.3946525454521179,0.4207788109779358,0.4175530970096588,0.3860261142253876
12,atypical_pigment_network,t1,Dermoscopy of melanoma showing an atypical pigment network,0.4271512031555176,0.42023175954818726,0.43578511476516724,0.4075363874435425,0.43692368268966675,0.43656837940216064,0.39176705479621887
13,atypical_pigment_network,t2,Dermoscopic image of melanoma demonstrating an irregular broadened pigment network,0.44121405482292175,0.4289354681968689,0.452401340007782,0.41684669256210327,0.45610418915748596,0.4501427412033081,0.3835485875606537
14,atypical_pigment_network,t3,An atypical pigment network with thickened lines in dermoscopy of melanoma,0.43250495195388794,0.4208309054374695,0.43701350688934326,0.4155255854129791,0.43475279211997986,0.44009140133857727,0.39118528366088867
15,blue_white_veil,t1,Dermoscopy of melanoma showing a blue-white veil,0.4353216886520386,0.4436641037464142,0.4451746642589569,0.4426027536392212,0.44795408844947815,0.4526958763599396,0.42488059401512146
16,blue_white_veil,t2,Dermoscopic image of melanoma demonstrating a confluent blue-whitish structureless area,0.43648189306259155,0.4348942041397095,0.44824233651161194,0.43996661901474,0.4554171860218048,0.4491792619228363,0.4066275656223297
17,blue_white_veil,t3,A blue-white veil overlying pigmented areas in dermoscopy of melanoma,0.4272577166557312,0.431391179561615,0.43761420249938965,0.4235253930091858,0.44044214487075806,0.43587756156921387,0.3982491195201874
18,atypical_vascular_pattern,t1,Dermoscopy of melanoma showing atypical vascular structures,0.4382897913455963,0.43554553389549255,0.4404764473438263,0.4272339940071106,0.44194719195365906,0.4431350529193878,0.42243659496307373
19,atypical_vascular_pattern,t2,Dermoscopic image of melanoma demonstrating polymorphous atypical vessels,0.4381353259086609,0.435952752828598,0.43863534927368164,0.42602986097335815,0.4381280839443207,0.4413471221923828,0.41858363151550293
20,atypical_vascular_pattern,t3,Atypical polymorphous vascular structures in dermoscopy of melanoma,0.44089972972869873,0.43212890625,0.437113493680954,0.4325527846813202,0.4333210289478302,0.4418387711048126,0.42729651927948
21,irregular_streaks,t1,Dermoscopy of melanoma showing irregular radial streaks and pseudopods,0.4157136082649231,0.4128369987010956,0.4284621775150299,0.40682342648506165,0.4309172034263611,0.42802345752716064,0.3898538649082184
22,irregular_streaks,t2,Dermoscopic image of melanoma demonstrating asymmetric peripheral streaks,0.43156036734580994,0.4302755296230316,0.4406237304210663,0.43223950266838074,0.4439048767089844,0.45327845215797424,0.40805578231811523
23,irregular_streaks,t3,Irregular radial streaks at the periphery in dermoscopy of melanoma,0.43267327547073364,0.4297926425933838,0.4344528913497925,0.4360812306404114,0.4335424602031708,0.4437311291694641,0.4154971241950989
24,irregular_pigmentation,t1,Dermoscopy of melanoma showing irregular pigmented blotches,0.4202011823654175,0.4166673421859741,0.43192553520202637,0.40033844113349915,0.4328683614730835,0.427757203578949,0.37765341997146606
25,irregular_pigmentation,t2,Dermoscopic image of melanoma demonstrating asymmetric dark structureless areas,0.4357025623321533,0.429383784532547,0.44762948155403137,0.4224080443382263,0.4508973956108093,0.4487992227077484,0.39027273654937744
26,irregular_pigmentation,t3,Irregular structureless dark pigmentation in dermoscopy of melanoma,0.43351098895072937,0.42724940180778503,0.44842779636383057,0.4271409809589386,0.4528180658817291,0.45082995295524597,0.39552122354507446
27,irregular_dots_globules,t1,Dermoscopy of melanoma showing irregular dots and globules,0.42362847924232483,0.4191906452178955,0.43796658515930176,0.40637263655662537,0.43805164098739624,0.43205103278160095,0.39459437131881714
28,irregular_dots_globules,t2,Dermoscopic image of melanoma demonstrating asymmetrically distributed pigmented globules,0.4316515028476715,0.43025219440460205,0.4446673095226288,0.41703981161117554,0.44686606526374817,0.44012969732284546,0.396848201751709
29,irregular_dots_globules,t3,Irregular asymmetric dots and globules in dermoscopy of melanoma,0.43967729806900024,0.43302983045578003,0.45030930638313293,0.4248170852661133,0.4498101472854614,0.4486331343650818,0.4037022590637207
30,regression_structures,t1,Dermoscopy of melanoma showing regression structures,0.441170871257782,0.44159576296806335,0.44540852308273315,0.4332471787929535,0.4431193470954895,0.4445875287055969,0.4199146032333374
31,regression_structures,t2,Dermoscopic image of melanoma demonstrating white scar-like areas and peppering,0.4482080340385437,0.43842029571533203,0.45680803060531616,0.4355163276195526,0.45707061886787415,0.4540788233280182,0.39659133553504944
32,regression_structures,t3,Regression structures with peppering and scar-like depigmentation in dermoscopy of melanoma,0.4392869472503662,0.4275535047054291,0.4407707452774048,0.42114245891571045,0.43468594551086426,0.4305884838104248,0.3739016354084015
33,symmetric_uniform,t1,Dermoscopy of melanocytic nevus showing a symmetric uniformly pigmented lesion,0.39867228269577026,0.3944837152957916,0.4156506657600403,0.3951362669467926,0.4177461862564087,0.42342302203178406,0.37144654989242554
34,symmetric_uniform,t2,Dermoscopic image of benign nevus demonstrating a small round even-coloured lesion,0.4485228657722473,0.45003777742385864,0.4558331072330475,0.455165833234787,0.4524117112159729,0.46719029545783997,0.4327749013900757
35,symmetric_uniform,t3,A symmetric small round pigmented lesion in dermoscopy of melanocytic nevus,0.40257737040519714,0.40529268980026245,0.41532188653945923,0.4053935706615448,0.418639212846756,0.43043920397758484,0.38976868987083435
36,reticular_network,t1,Dermoscopy of melanocytic nevus showing a regular reticular pigment network,0.42720240354537964,0.41206595301628113,0.4390662610530853,0.40958172082901,0.43644875288009644,0.4412156939506531,0.3666141629219055
37,reticular_network,t2,Dermoscopic image of benign nevus demonstrating an even fine pigment network,0.44220173358917236,0.429424524307251,0.45011910796165466,0.43061327934265137,0.44354018568992615,0.4532000422477722,0.39101821184158325
38,reticular_network,t3,A regular evenly distributed reticular network in dermoscopy of melanocytic nevus,0.4199044406414032,0.39576855301856995,0.4263397753238678,0.3970049321651459,0.42583730816841125,0.42939168214797974,0.3499097228050232
39,arborizing_vessels,t1,a dermoscopic image showing arborizing tree-like blood vessels,0.4204483926296234,0.4057658612728119,0.41068822145462036,0.40454530715942383,0.39751139283180237,0.407264769077301,0.38032397627830505
40,arborizing_vessels,t2,a dermatoscopic image with branched telangiectatic vessels,0.4335900545120239,0.4156132936477661,0.42127475142478943,0.42077624797821045,0.4046611785888672,0.42082738876342773,0.3883867859840393
41,arborizing_vessels,t3,a close-up photograph of a lesion with tree-branch vasculature,0.39708638191223145,0.3827500641345978,0.3882984220981598,0.38180670142173767,0.3852331042289734,0.39124488830566406,0.37082022428512573
42,blue_grey_ovoid_nests,t1,a dermoscopic image showing blue-grey ovoid nests,0.4267393946647644,0.4247780740261078,0.43511509895324707,0.42166808247566223,0.4335642158985138,0.4355829060077667,0.39754611253738403
43,blue_grey_ovoid_nests,t2,a dermatoscopic image with large blue-grey pigmented nests,0.4303840398788452,0.4240287244319916,0.44311538338661194,0.4191852807998657,0.4446587562561035,0.4385776221752167,0.38308942317962646
44,blue_grey_ovoid_nests,t3,a close-up photograph of a lesion with grey-blue oval clusters,0.40667206048965454,0.41001611948013306,0.4168734848499298,0.4050756096839905,0.4212656021118164,0.419070303440094,0.415870726108551
45,ulceration,t1,a dermoscopic image of an ulcerated skin lesion,0.40762877464294434,0.41020041704177856,0.40155449509620667,0.4170337915420532,0.3981313407421112,0.4044322371482849,0.4220465123653412
46,ulceration,t2,a dermatoscopic image showing surface erosion or ulcer,0.4312584400177002,0.43125730752944946,0.42441463470458984,0.44005927443504333,0.41704973578453064,0.42279067635536194,0.41646844148635864
47,ulceration,t3,a close-up photograph of a lesion with an open wound,0.3262316882610321,0.3420942723751068,0.32167303562164307,0.34005627036094666,0.3276861011981964,0.32525351643562317,0.37257492542266846
48,scaly_surface,t1,a dermoscopic image of a skin lesion with a scaly surface,0.44163116812705994,0.43487048149108887,0.4422747492790222,0.45302265882492065,0.43415629863739014,0.4503878653049469,0.4378039538860321
49,scaly_surface,t2,a dermatoscopic image showing keratotic scaling,0.42083975672721863,0.4099278151988983,0.4214406907558441,0.4158594310283661,0.4059298634529114,0.4123274087905884,0.37193259596824646
50,scaly_surface,t3,"a close-up photograph of a rough, scaly patch of skin",0.33909571170806885,0.3249751329421997,0.3420887291431427,0.3320033848285675,0.32416948676109314,0.3368096947669983,0.30569571256637573
51,strawberry_pattern,t1,a dermoscopic image showing a strawberry pattern with red pseudonetwork,0.4130702614784241,0.39827069640159607,0.40330883860588074,0.405630886554718,0.3978993594646454,0.4089421331882477,0.3972025215625763
52,strawberry_pattern,t2,a dermatoscopic image with red dots around hair follicles,0.37633806467056274,0.36710089445114136,0.37347492575645447,0.35955315828323364,0.3627105951309204,0.3801448941230774,0.35949715971946716
53,strawberry_pattern,t3,a close-up photograph of a facial actinic lesion with red pseudonetwork,0.3832800090312958,0.36097452044487,0.3675483763217926,0.36608877778053284,0.3645927906036377,0.36674201488494873,0.33343207836151123
54,milia_like_cysts,t1,a dermoscopic image showing milia-like cysts,0.4182840585708618,0.40823182463645935,0.4201348125934601,0.4065436124801636,0.40169158577919006,0.408143013715744,0.37749314308166504
55,milia_like_cysts,t2,a dermatoscopic image with small white round inclusions,0.45216572284698486,0.445949524641037,0.4550575911998749,0.4473993182182312,0.44453391432762146,0.45790529251098633,0.42432093620300293
56,milia_like_cysts,t3,a close-up photograph of a lesion with white milky cyst-like spots,0.3539515733718872,0.35694965720176697,0.3565591871738434,0.35553622245788574,0.3486718237400055,0.3525172173976898,0.3750758767127991
57,comedo_like_openings,t1,a dermoscopic image showing comedo-like openings,0.4355366826057434,0.42623671889305115,0.43290233612060547,0.41966715455055237,0.42321163415908813,0.42530393600463867,0.39402884244918823
58,comedo_like_openings,t2,a dermatoscopic image with brown pseudofollicular plugs,0.43071311712265015,0.42932388186454773,0.43489208817481995,0.4157092571258545,0.42281582951545715,0.42569538950920105,0.38933131098747253
59,comedo_like_openings,t3,a close-up photograph of a lesion with crater-like dark openings,0.40779826045036316,0.4070538580417633,0.41516897082328796,0.3935023248195648,0.4160226285457611,0.41303181648254395,0.39962300658226013
60,cerebriform_surface,t1,a dermoscopic image with a cerebriform brain-like surface,0.42738011479377747,0.4181930720806122,0.4318620562553406,0.4237259030342102,0.42062219977378845,0.42686477303504944,0.39383426308631897
61,cerebriform_surface,t2,a dermatoscopic image showing a gyriform fissured pattern,0.43786856532096863,0.42049622535705566,0.43202900886535645,0.4275600016117096,0.4153998792171478,0.4278917908668518,0.3880351781845093
62,cerebriform_surface,t3,a close-up photograph of a lesion with a wavy brain-like texture,0.39843156933784485,0.3842710554599762,0.40493243932724,0.39138010144233704,0.39158377051353455,0.40682482719421387,0.36543193459510803
63,central_white_patch,t1,a dermoscopic image showing a central white scar-like patch,0.4356628954410553,0.4324851930141449,0.43415072560310364,0.44685763120651245,0.42222797870635986,0.43978649377822876,0.41946205496788025
64,central_white_patch,t2,a dermatoscopic image with a peripheral pigment network surrounding a white centre,0.4470992684364319,0.43767616152763367,0.4539293050765991,0.43969064950942993,0.453358918428421,0.46352526545524597,0.4120063781738281
65,central_white_patch,t3,a close-up photograph of a firm lesion with a white centre,0.37880465388298035,0.3837283253669739,0.38281387090682983,0.39610177278518677,0.3841071128845215,0.39565345644950867,0.4045138955116272
66,red_lacunae,t1,a dermoscopic image showing red lacunae,0.3950693905353546,0.3879948854446411,0.3854740858078003,0.3933922350406647,0.37286296486854553,0.3945053815841675,0.3891684114933014
67,red_lacunae,t2,a dermatoscopic image with bright red vascular spaces,0.436450332403183,0.4218493402004242,0.4272504150867462,0.430105596780777,0.4198111295700073,0.4391271770000458,0.4180499315261841
68,red_lacunae,t3,a close-up photograph of a vascular lesion with red lake-like areas,0.4046250879764557,0.4043101370334625,0.39677974581718445,0.40400397777557373,0.4009736180305481,0.4047638773918152,0.43372538685798645
69,healthy_skin,t1,a dermoscopic image of normal healthy skin,0.3874080777168274,0.36937209963798523,0.3881993889808655,0.38094496726989746,0.3763020634651184,0.4005470871925354,0.35231760144233704
70,healthy_skin,t2,a dermatoscopic image with no visible lesion,0.4441521465778351,0.4398825168609619,0.4428783655166626,0.45423537492752075,0.43214017152786255,0.4541625380516052,0.41173186898231506
71,healthy_skin,t3,a close-up photograph of unremarkable skin,0.33901843428611755,0.32735511660575867,0.33380326628685,0.335121214389801,0.32211393117904663,0.3372986912727356,0.28417161107063293
