prompt_idx,concept_id,template,prompt,min,max,mean,std,p05,p95,flagged_dead
0,asymmetry,t1,a dermoscopic image of an asymmetric skin lesion,0.22160324454307556,0.35403674840927124,0.3084656000137329,0.016794228926301003,0.27743562310934067,0.33285802602767944,False
1,asymmetry,t2,a dermatoscopic image showing a skin lesion with asymmetric shape along both axes,0.22627240419387817,0.3958802819252014,0.3333887457847595,0.019534366205334663,0.2969107821583748,0.36060685515403745,False
2,asymmetry,t3,a close-up photograph of a mole that is asymmetric in outline,0.19919371604919434,0.34902989864349365,0.2848317325115204,0.019337613135576248,0.2515318274497986,0.315198466181755,False
3,border_irregularity,t1,a dermoscopic image with an irregular and asymmetric border,0.18623726069927216,0.31375446915626526,0.2649487257003784,0.016689777374267578,0.2355739638209343,0.2905617371201515,False
4,border_irregularity,t2,"a dermatoscopic image showing a skin lesion with jagged, notched borders",0.2240505814552307,0.3832268714904785,0.3284648358821869,0.020909979939460754,0.2894343674182892,0.35836377292871474,False
5,border_irregularity,t3,a close-up photograph of a mole with poorly defined edges,0.19022521376609802,0.3484564423561096,0.27923285961151123,0.019669000059366226,0.24500124305486679,0.30955494642257686,False
6,colour_variation,t1,a dermoscopic image of a lesion with multiple colours,0.19832605123519897,0.3483872413635254,0.28936198353767395,0.018143031746149063,0.2581958919763565,0.31731459647417065,False
7,colour_variation,t2,"a dermatoscopic image showing variegated pigmentation including brown, black, and red",0.2302040308713913,0.4165279269218445,0.3468376100063324,0.023461757227778435,0.3022704154253006,0.3793821200728416,False
8,colour_variation,t3,a close-up photograph of a skin lesion with uneven color distribution,0.23759031295776367,0.38894593715667725,0.3307461142539978,0.02074141800403595,0.29334714114665983,0.36227016150951385,False
9,diameter_large,t1,a dermoscopic image of a large skin lesion greater than six millimetres,0.2236846685409546,0.3714136481285095,0.3192427158355713,0.01881900429725647,0.28451934158802034,0.34677448570728303,False
10,diameter_large,t2,a dermatoscopic image of a wide pigmented lesion,0.2235061228275299,0.3868061900138855,0.32923251390457153,0.019368447363376617,0.2929730027914047,0.3566960752010345,False
11,diameter_large,t3,a close-up photograph of a sizeable mole,0.18789556622505188,0.3316877484321594,0.2615608870983124,0.01819278858602047,0.23147209212183953,0.2912264361977577,False
12,atypical_pigment_network,t1,a dermoscopic image showing an atypical pigment network,0.22455133497714996,0.3561133146286011,0.3049973249435425,0.016438176855444908,0.27521558105945587,0.32899063527584077,False
13,atypical_pigment_network,t2,a dermatoscopic image with an irregular brown grid pattern,0.24141782522201538,0.39972659945487976,0.33335134387016296,0.018940381705760956,0.29846714735031127,0.36036849319934844,False
14,atypical_pigment_network,t3,a close-up photograph of a lesion with a disrupted pigment network,0.23206904530525208,0.3807051181793213,0.32375258207321167,0.019021203741431236,0.2902135968208313,0.35279356241226195,False
15,blue_white_veil,t1,a dermoscopic image showing a blue-white veil,0.19982314109802246,0.3318883180618286,0.26519328355789185,0.01869937963783741,0.2353236421942711,0.29631821066141123,False
16,blue_white_veil,t2,a dermatoscopic image with a confluent blue-white area,0.23286201059818268,0.3738488554954529,0.3177458941936493,0.018628450110554695,0.2825468793511391,0.3441044449806213,False
17,blue_white_veil,t3,a close-up photograph of a lesion with bluish-white structureless regions,0.21082596480846405,0.36885958909988403,0.3002193570137024,0.02094830386340618,0.26379251629114153,0.33306339532136914,False
18,atypical_vascular_pattern,t1,a dermoscopic image showing atypical vascular structures,0.1803061068058014,0.31965041160583496,0.26519206166267395,0.015069810673594475,0.24068732112646102,0.28923442512750625,False
19,atypical_vascular_pattern,t2,a dermatoscopic image with irregular blood vessels,0.2124263346195221,0.3563520312309265,0.3061507046222687,0.015576652251183987,0.2791744977235794,0.32939876317977906,False
20,atypical_vascular_pattern,t3,a close-up photograph of a lesion containing dotted or linear vessels,0.2306733876466751,0.36865997314453125,0.3185519576072693,0.01776491478085518,0.28831769675016405,0.34656880199909207,False
21,irregular_streaks,t1,a dermoscopic image showing irregular radial streaks,0.158061221241951,0.31945013999938965,0.2567371129989624,0.020626716315746307,0.22118455916643143,0.28827055394649503,False
22,irregular_streaks,t2,a dermatoscopic image with pseudopods at the lesion edge,0.23445692658424377,0.36710572242736816,0.31674712896347046,0.015087406150996685,0.28879019767045977,0.3379336789250374,False
23,irregular_streaks,t3,a close-up photograph of a lesion with streaks at the periphery,0.22679539024829865,0.3612534999847412,0.3058811128139496,0.01753772236406803,0.27651055008172987,0.3338943630456924,False
24,irregular_pigmentation,t1,a dermoscopic image with irregular dark pigmented blotches,0.21175238490104675,0.36440062522888184,0.30718114972114563,0.020533833652734756,0.2688285827636719,0.3366753816604614,False
25,irregular_pigmentation,t2,a dermatoscopic image showing structureless black areas,0.22759783267974854,0.38308972120285034,0.32288408279418945,0.01868642494082451,0.28918714076280594,0.3502748847007751,False
26,irregular_pigmentation,t3,a close-up photograph of a lesion with patchy dark pigment,0.2215486764907837,0.39888209104537964,0.32718631625175476,0.024073787033557892,0.28401931524276736,0.3639725685119629,False
27,irregular_dots_globules,t1,a dermoscopic image showing irregular dots and globules,0.22029656171798706,0.37291622161865234,0.301249235868454,0.020380433648824692,0.2666069284081459,0.33400537818670273,False
28,irregular_dots_globules,t2,a dermatoscopic image with asymmetrically distributed pigmented globules,0.22806032001972198,0.3753783106803894,0.32358142733573914,0.017506068572402,0.2895951852202415,0.34656073302030566,False
29,irregular_dots_globules,t3,a close-up photograph of a lesion with scattered brown dots,0.2109651416540146,0.38397014141082764,0.3210449516773224,0.021314332261681557,0.28368272036314013,0.3543566673994064,False
30,regression_structures,t1,a dermoscopic image showing regression structures,0.16350215673446655,0.26879608631134033,0.2232113480567932,0.012740278616547585,0.20285438969731331,0.24498561993241308,False
31,regression_structures,t2,a dermatoscopic image with white scar-like areas and peppering,0.22919194400310516,0.39042526483535767,0.32930541038513184,0.020812472328543663,0.29043333381414416,0.3591502651572227,False
32,regression_structures,t3,a close-up photograph of a lesion with whitish depigmented regions,0.22052592039108276,0.3738245368003845,0.31215959787368774,0.020780395716428757,0.275468273460865,0.3443812966346741,False
33,symmetric_uniform,t1,a dermoscopic image of a small symmetric mole with a smooth edge,0.22519081830978394,0.3460872769355774,0.2852495014667511,0.017382025718688965,0.2569647952914238,0.31393657624721527,False
34,symmetric_uniform,t2,a dermatoscopic image of a round even-coloured mole,0.22291508316993713,0.39801037311553955,0.3368448317050934,0.021174617111682892,0.2980752676725388,0.3670006737112999,False
35,symmetric_uniform,t3,a close-up photograph of a small round mole,0.1873236745595932,0.3443031311035156,0.26839324831962585,0.019381040707230568,0.23590884432196618,0.3002833902835846,False
36,reticular_network,t1,a dermoscopic image showing a regular reticular pigment network,0.22384855151176453,0.35014355182647705,0.3013075292110443,0.01496617030352354,0.2748860865831375,0.3236924931406975,False
37,reticular_network,t2,a dermatoscopic image with an even brown net pattern,0.24563229084014893,0.3973557949066162,0.3408204913139343,0.018427900969982147,0.30662164092063904,0.36664676666259766,False
38,reticular_network,t3,a close-up photograph of a lesion with a uniform grid of pigment,0.22704894840717316,0.37839460372924805,0.32036149501800537,0.01861925795674324,0.2889359563589096,0.35017930865287783,False
39,arborizing_vessels,t1,a dermoscopic image showing arborizing tree-like blood vessels,0.1706761121749878,0.339186429977417,0.27435821294784546,0.019140036776661873,0.24225734323263168,0.30495147258043287,False
40,arborizing_vessels,t2,a dermatoscopic image with branched telangiectatic vessels,0.23727238178253174,0.35772478580474854,0.31333890557289124,0.013630766421556473,0.28913476318120956,0.3330823317170143,False
41,arborizing_vessels,t3,a close-up photograph of a lesion with tree-branch vasculature,0.20232045650482178,0.3681524097919464,0.2936416268348694,0.020625853911042213,0.26077941060066223,0.3286257147789001,False
42,blue_grey_ovoid_nests,t1,a dermoscopic image showing blue-grey ovoid nests,0.18997490406036377,0.3347706198692322,0.27103373408317566,0.017578663304448128,0.2428782343864441,0.3008809506893158,False
43,blue_grey_ovoid_nests,t2,a dermatoscopic image with large blue-grey pigmented nests,0.21263247728347778,0.37014299631118774,0.3067528307437897,0.022105246782302856,0.2657418668270111,0.33856094628572464,False
44,blue_grey_ovoid_nests,t3,a close-up photograph of a lesion with grey-blue oval clusters,0.19554299116134644,0.35253089666366577,0.2904801666736603,0.02215336449444294,0.2524841666221619,0.3255163684487343,False
45,ulceration,t1,a dermoscopic image of an ulcerated skin lesion,0.2373959720134735,0.36381810903549194,0.31158748269081116,0.015683837234973907,0.2836824432015419,0.3349090546369552,False
46,ulceration,t2,a dermatoscopic image showing surface erosion or ulcer,0.22786322236061096,0.3726477026939392,0.3189584016799927,0.017386792227625847,0.28663007766008375,0.3439397647976875,False
47,ulceration,t3,a close-up photograph of a lesion with an open wound,0.2163672298192978,0.36082014441490173,0.2984248697757721,0.019753536209464073,0.26581224948167803,0.33033057898283,False
48,scaly_surface,t1,a dermoscopic image of a skin lesion with a scaly surface,0.23222634196281433,0.3742532730102539,0.31858956813812256,0.018754867836833,0.2842558741569519,0.3462412267923355,False
49,scaly_surface,t2,a dermatoscopic image showing keratotic scaling,0.23839285969734192,0.36745232343673706,0.32011863589286804,0.015234027989208698,0.29236198365688326,0.34236994981765745,False
50,scaly_surface,t3,"a close-up photograph of a rough, scaly patch of skin",0.22431036829948425,0.3617306351661682,0.2972814440727234,0.017513711005449295,0.2687365174293518,0.32641263008117677,False
51,strawberry_pattern,t1,a dermoscopic image showing a strawberry pattern with red pseudonetwork,0.21037164330482483,0.3603883385658264,0.3024521768093109,0.020337147638201714,0.2665626809000969,0.33318322002887724,False
52,strawberry_pattern,t2,a dermatoscopic image with red dots around hair follicles,0.24517662823200226,0.4030470848083496,0.34102663397789,0.01812932640314102,0.3097672939300537,0.36832155883312223,False
53,strawberry_pattern,t3,a close-up photograph of a facial actinic lesion with red pseudonetwork,0.2118435949087143,0.3651513159275055,0.3051117956638336,0.02078242227435112,0.26902613788843155,0.33715604841709135,False
54,milia_like_cysts,t1,a dermoscopic image showing milia-like cysts,0.22368121147155762,0.3578674793243408,0.2929964065551758,0.01661791279911995,0.26499552428722384,0.31987136900424956,False
55,milia_like_cysts,t2,a dermatoscopic image with small white round inclusions,0.23664115369319916,0.38211438059806824,0.3274475634098053,0.018177656456828117,0.2941181302070618,0.3542801529169083,False
56,milia_like_cysts,t3,a close-up photograph of a lesion with white milky cyst-like spots,0.20811384916305542,0.3732261061668396,0.3162640333175659,0.021440261974930763,0.27747834622859957,0.34890786111354827,False
57,comedo_like_openings,t1,a dermoscopic image showing comedo-like openings,0.2101980447769165,0.324975848197937,0.27437520027160645,0.01463907491415739,0.24997832626104355,0.29817848205566405,False
58,comedo_like_openings,t2,a dermatoscopic image with brown pseudofollicular plugs,0.22529980540275574,0.39762797951698303,0.3355123996734619,0.021069541573524475,0.29591446965932844,0.3646322131156921,False
59,comedo_like_openings,t3,a close-up photograph of a lesion with crater-like dark openings,0.2109546661376953,0.3711854815483093,0.30526959896087646,0.01944069005548954,0.27207395136356355,0.33606615513563154,False
60,cerebriform_surface,t1,a dermoscopic image with a cerebriform brain-like surface,0.2059149444103241,0.32747483253479004,0.26779231429100037,0.01667075604200363,0.2408144697546959,0.29572621583938596,False
61,cerebriform_surface,t2,a dermatoscopic image showing a gyriform fissured pattern,0.23255759477615356,0.394784152507782,0.34020569920539856,0.019952191039919853,0.30257039666175845,0.36828759908676145,False
62,cerebriform_surface,t3,a close-up photograph of a lesion with a wavy brain-like texture,0.217173770070076,0.345852255821228,0.2879263460636139,0.017472058534622192,0.25883096307516096,0.31621156483888624,False
63,central_white_patch,t1,a dermoscopic image showing a central white scar-like patch,0.2182478904724121,0.37944477796554565,0.3187562823295593,0.024313300848007202,0.27402709275484083,0.3536749243736267,False
64,central_white_patch,t2,a dermatoscopic image with a peripheral pigment network surrounding a white centre,0.23045198619365692,0.3995979428291321,0.3335040211677551,0.019678838551044464,0.29609944522380827,0.3604050070047379,False
65,central_white_patch,t3,a close-up photograph of a firm lesion with a white centre,0.21329140663146973,0.36257919669151306,0.3061094284057617,0.01981508731842041,0.27234245985746386,0.33813977986574173,False
66,red_lacunae,t1,a dermoscopic image showing red lacunae,0.2134939730167389,0.3715735673904419,0.31717532873153687,0.021606063470244408,0.2773449793457985,0.34922567456960674,False
67,red_lacunae,t2,a dermatoscopic image with bright red vascular spaces,0.2163776457309723,0.38101744651794434,0.3270988166332245,0.020491426810622215,0.28921820819377897,0.35658273249864575,False
68,red_lacunae,t3,a close-up photograph of a vascular lesion with red lake-like areas,0.2207179218530655,0.3580947518348694,0.29654625058174133,0.019013317301869392,0.26490039229393003,0.327004486322403,False
69,healthy_skin,t1,a dermoscopic image of normal healthy skin,0.23577597737312317,0.36735597252845764,0.3169292211532593,0.01744905672967434,0.28447230756282804,0.3420247748494148,False
70,healthy_skin,t2,a dermatoscopic image with no visible lesion,0.23052437603473663,0.3755093514919281,0.32383182644844055,0.017005665227770805,0.29129289239645006,0.34714028984308243,False
71,healthy_skin,t3,a close-up photograph of unremarkable skin,0.23441356420516968,0.3739796280860901,0.3083062767982483,0.01707322709262371,0.27981942147016525,0.3359365537762642,False
