lambda_c,val_balacc,val_auc,val_loss,r_perp_val,actual_epochs
0.001,0.5896252104798549,0.8638745923692315,1.1766218064129352,0.30661800503730774,31
0.00115,0.6037830579869754,0.8636751542559218,1.1741970241129398,0.300775408744812,19
0.0013224999999999999,0.5921523105278357,0.8612914638523438,1.1991073779521138,0.3043774664402008,16
0.0015208749999999999,0.5972493933907542,0.8631349782589137,1.1970594854060002,0.29548272490501404,14
0.0017490062499999994,0.6097839703562171,0.8626609280636837,1.2117503436423431,0.28760257363319397,20
0.0020113571874999995,0.5978818865384369,0.8626066467451945,1.227578537985824,0.27305662631988525,28
0.002313060765624999,0.5900523960777441,0.8645500530896681,1.238483673425777,0.27201735973358154,20
0.0026600198804687487,0.5978446167254103,0.8626156629732402,1.2735645191402418,0.2700793445110321,11
0.003059022862539061,0.5900239406998458,0.8634503493818567,1.2602003630335592,0.2709505558013916,15
0.0035178762919199197,0.5977322897587783,0.8605474387893248,1.2805893703172546,0.26279953122138977,18
0.004045557735707907,0.595825513173077,0.8619945097583047,1.2797430832625056,0.2615779638290405,19
0.004652391396064093,0.5983470158450495,0.8619211564667456,1.3046458224556423,0.2609311640262604,11
0.005350250105473706,0.593401168996898,0.8614323390049005,1.3080120543432892,0.25704294443130493,17
0.006152787621294761,0.6073238613373787,0.8598756001163104,1.2933467818987283,0.2574754059314728,12
0.0070757057644889754,0.5750405937876246,0.860484436883461,1.3343272685114025,0.25078457593917847,13
0.008137061629162322,0.5773380216623044,0.859461129236878,1.3567246737903593,0.25049513578414917,16
0.009357620873536667,0.5849260265759574,0.8571939154235466,1.3300855212174767,0.24696411192417145,11
0.010761264004567169,0.5785432764663982,0.8583176292758065,1.3263599812979985,0.24512521922588348,13
0.012375453605252242,0.5925059294564606,0.8578114310489665,1.3513989829410584,0.24535810947418213,14
0.014231771646040076,0.5798798904918893,0.8563532205106317,1.3743324036398152,0.24430084228515625,15
0.01636653739294609,0.5628741157227665,0.8596501897549651,1.4311104627621476,0.23688609898090363,20
0.018821518001888,0.5588887513360937,0.8563349821842826,1.3956947631285468,0.22931215167045593,30
0.021644745702171196,0.5329646654102198,0.8582174367117045,1.4007699220995415,0.2275482565164566,24
0.024891457557496874,0.5580576049946464,0.8575252290847841,1.4022552814167184,0.22264765202999115,31
0.028625176191121406,0.5610146062129595,0.857793336950792,1.4207840021074805,0.22174684703350067,11
0.03291895261978962,0.5415164681484336,0.8583692902025993,1.4557464808273326,0.21837712824344635,15
0.03785679551275806,0.539273131831533,0.8552074507004795,1.4381679702655557,0.21575792133808136,15
0.043535314839671754,0.5688178499919229,0.8526463758046204,1.415298542436706,0.21473583579063416,11
0.05006561206562252,0.5495119508628125,0.8555784555213714,1.4519512891125625,0.2103029489517212,14
0.05757545387546589,0.5458476336009694,0.8551961747056023,1.4568599903934663,0.20643463730812073,14
0.06621177195678576,0.562490831193401,0.855716303556826,1.4683131608121736,0.20280255377292633,15
0.07614353775030362,0.539673198057202,0.8530697877481861,1.4695661333900012,0.20207685232162476,12
0.08756506841284915,0.5390648256937876,0.8532522793911929,1.4804976769364273,0.19633768498897552,17
0.10069982867477653,0.5617651219486759,0.8547010580919775,1.4911488436921445,0.19337403774261475,20
0.11580480297599301,0.5508224369044691,0.8556733175772242,1.462096699430375,0.18740412592887878,22
0.13317552342239194,0.5566182006344609,0.8535331874227452,1.4905389675762024,0.18361882865428925,11
0.15315185193575073,0.5333199345220574,0.8514999363969805,1.5725400221334072,0.18031077086925507,25
0.1761246297261133,0.5426461911386037,0.8549210744668058,1.5078290160035743,0.17550794780254364,21
0.2025433241850303,0.5547225306692727,0.8532069037752702,1.4896243253366814,0.17108114063739777,15
0.23292482281278482,0.550721015918195,0.8536805947633568,1.5049795617091353,0.1648145318031311,19
0.26786354623470254,0.5408704296845741,0.8501294671302109,1.5051725950750436,0.15840120613574982,21
0.3080430781699079,0.5534615611527374,0.8514027323553313,1.5480133449455684,0.15233595669269562,16
0.35424953989539404,0.5428750042574407,0.8501877688488826,1.548235104416861,0.1485053151845932,13
0.4073869708797031,0.5457798851616303,0.8527481578098602,1.542448579529573,0.1440013200044632,16
0.46849501651165854,0.5384514738209109,0.8514696957152526,1.5634094911112062,0.13830800354480743,19
0.5387692689884073,0.5345123232590422,0.8517814844956076,1.5709854196955448,0.13389039039611816,32
0.6195846593366683,0.5259172332423382,0.8506461623497599,1.6360007929102236,0.1286276876926422,22
0.7125223582371686,0.5447315481601953,0.8505453493658627,1.6106727130270762,0.12423276156187057,16
0.8194007119727437,0.5491526692604012,0.848323504058266,1.6241635666105219,0.11824106425046921,19
0.9423108187686552,0.5524183378101357,0.8496852550288426,1.6071913642295312,0.11214834451675415,30
1.0836574415839535,0.5308644510568759,0.8465449841110074,1.6317268527964557,0.10923252999782562,13
1.2462060578215461,0.5263678213018463,0.8451575202102127,1.6311909479365048,0.10612630844116211,16
1.4331369664947782,0.5445905442253804,0.8495992078476475,1.6598419241934428,0.10379818081855774,13
1.6481075114689947,0.5378105604270751,0.8440469802105238,1.6845516285678843,0.09979671239852905,15
1.895323638189344,0.5143298462236382,0.8476288742918531,1.7126350344771557,0.09348317980766296,28
2.179622183917745,0.5401601334056262,0.8413429754755215,1.7278119060412647,0.09197545051574707,12
2.506565511505407,0.5334779436838584,0.8436989113015071,1.7542392597266359,0.08563847094774246,28
2.882550338231218,0.5344861061213728,0.8432643526612497,1.759190524098171,0.08032724261283875,16
3.3149328889659,0.5055780132720026,0.8414306040784543,1.783357450089701,0.07148018479347229,35
3.8121728223107847,0.5246690173347743,0.841029027317476,1.8016353184150087,0.06729498505592346,31
4.383998745657402,0.5056404230857184,0.8389891712133418,1.8633955627633376,0.06472408026456833,12
5.0415985575060125,0.4979809138499478,0.8356865634308165,1.8379683262586135,0.059861112385988235,27
5.797838341131913,0.5106832978386557,0.8337931988625239,1.8838180527135062,0.05684669688344002,17
6.6675140923017,0.49540305859212797,0.8324174276257353,1.9415434130269427,0.05369322746992111,25
7.667641206146954,0.5087244174220567,0.8306523254777292,1.938956474758109,0.049755677580833435,27
8.817787387068996,0.4724823061828135,0.8328828506525011,2.027393427527372,0.04792394861578941,12
10.140455495129345,0.4985994006271692,0.8274744331933769,2.0058445580785342,0.04286700114607811,42
11.661523819398747,0.500541654285709,0.8267543942400655,2.0588661457324164,0.04084177687764168,24
13.410752392308558,0.49456266903092244,0.822384161851189,2.069242761720525,0.03792337328195572,37
15.422365251154838,0.49190008802816293,0.8198187129263226,2.0908152524406316,0.035210635513067245,28
17.735720038828067,0.49404357356542355,0.8159821386567347,2.140778933170004,0.032463692128658295,50
20.396078044652274,0.4853391493032283,0.8164752751341194,2.1857665956628844,0.030441708862781525,50
23.455489751350115,0.48385123864370605,0.8140616529415988,2.2641356060390447,0.029685141518712044,16
26.973813214052626,0.4701998118812195,0.8121094216442145,2.3354748090467563,0.02859893999993801,36
31.01988519616052,0.4591346189704985,0.8063257717192197,2.461295269300467,0.028289346024394035,26
35.672867975584595,0.4572018419677297,0.8062563800285187,2.5890805728485744,0.027812449261546135,15
41.02379817192228,0.45221153732368796,0.8034442649533615,2.6650812705786437,0.02590874582529068,47
47.17736789771062,0.45958931089909133,0.7985475342291151,2.7558586058232315,0.025371771305799484,33
54.25397308236721,0.46235534059699496,0.7976285207891248,2.8789840481357385,0.024615921080112457,25
62.392069044722284,0.4433446803134024,0.7916403684449842,3.11663634837013,0.02455701120197773,13
71.75087940143062,0.4347459189617754,0.7903260702481189,3.3230065213926165,0.024745503440499306,50
82.5135113116452,0.4295272364363924,0.7755488764959957,3.043083983434955,0.01772504672408104,44
94.89053800839197,0.4733341792830779,0.7279046271867727,2.201488955750646,0.006740902084857225,50
